    # Orbital elements of ficticious planets
    # 27 Jan. 2000
    #
    # This file is part of the Swiss Ephemeris, from Version 1.52 on.
    #
    # Warning! These planets do not exist!
    #
    # The user can add his or her own elements.
    # 960 is the maximum number of ficticious planets.
    #
    # The elements order is as follows:
    # 1. epoch of elements (Julian day)
    # 2. equinox (Julian day or "J1900" or "B1950" or "J2000")
    # 3. mean anomaly at epoch
    # 4. semi-axis
    # 5. eccentricity
    # 6. argument of perihelion (ang. distance of perihelion from node)
    # 7. ascending node
    # 8. inclination
    # 9. name of planet
    #
    # use '#' for comments
    # to compute a body with swe_calc(), use planet number
    # ipl = SE_FICT_OFFSET_1 + number_of_elements_set,
    # e.g. number of Kronos is ipl = 39 + 4 = 43
    #
    # Witte/Sieggruen planets, refined by James Neely
J1900, J1900, 163.7409, 40.99837, 0.00460, 171.4333, 129.8325, 1.0833, Cupido   # 1
J1900, J1900,  27.6496, 50.66744, 0.00245, 148.1796, 161.3339, 1.0500, Hades    # 2
J1900, J1900, 165.1232, 59.21436, 0.00120, 299.0440,   0.0000, 0.0000, Zeus     # 3
J1900, J1900, 169.0193, 64.81960, 0.00305, 208.8801,   0.0000, 0.0000, Kronos   # 4
J1900, J1900, 138.0533, 70.29949, 0.00000,   0.0000,   0.0000, 0.0000, Apollon  # 5
J1900, J1900, 351.3350, 73.62765, 0.00000,   0.0000,   0.0000, 0.0000, Admetos  # 6
J1900, J1900,  55.8983, 77.25568, 0.00000,   0.0000,   0.0000, 0.0000, Vulcanus # 7
J1900, J1900, 165.5163, 83.66907, 0.00000,   0.0000,   0.0000, 0.0000, Poseidon # 8
    #
    # Isis-Transpluto; elements from "Die Sterne" 3/1952, p. 70ff.
    # Strubell does not give an equinox. 1945 is taken in order to
    # reproduce the as best as ASTRON ephemeris. (This is a strange
    # choice, though.)
    # The epoch according to Strubell is 1772.76.
    # 1772 is a leap year!
    # The fraction is counted from 1 Jan. 1772
2368547.66, 2431456.5, 0.0, 77.775, 0.3, 0.7, 0, 0, Isis-Transpluto             # 9
    # Nibiru, elements from Christian Woeltge, Hannover
1856113.380954, 1856113.380954, 0.0, 234.8921, 0.981092, 103.966, -44.567, 158.708, Nibiru # 10
    # Harrington, elements from Astronomical Journal 96(4), Oct. 1988
2374696.5, J2000, 0.0, 101.2, 0.411, 208.5, 275.4, 32.4, Harrington             # 11
    # according to W.G. Hoyt, "Planets X and Pluto", Tucson 1980, p. 63
2395662.5, 2395662.5, 34.05, 36.15, 0.10761, 284.75, 0, 0, Leverrier (Neptune)  # 12
2395662.5, 2395662.5, 24.28, 37.25, 0.12062, 299.11, 0, 0, Adams (Neptune)      # 13
2425977.5, 2425977.5, 281, 43.0, 0.202, 204.9, 0, 0, Lowell (Pluto)             # 14
2425977.5, 2425977.5, 48.95, 55.1, 0.31, 280.1, 100, 15, Pickering (Pluto)      # 15
# intramercurian hypothetical Vulcan acc. to L.H. Weston
J1900,JDATE, 252.8987988 + 707550.7341 * T, 0.13744, 0.019, 322.212069+1670.056*T, 47.787931-1670.056*T, 7.5, Vulcan # 16
# Selena/White Moon
J2000,JDATE, 242.2205555 + 5143.5418158 * T, 0.05280098949, 0.0, 0.0, 0.0, 0.0, Selena/White Moon, geo # 17
# Hypothetical planet Proserpina, according to http://www.geocities.com/Hollywood/Academy/7519/proserpina.html
# J1900, 170.73 + 51.05 * T
#J1900,JDATE, 170.73, 79.225630, 0, 0, 0, 0, Proserpina #18
#
# Waldemath's Second Earth Moon
# Elements were derived by D.Koch from Waldemaths original elements as given in
# David Walters' book on Vulcan. They differ from Solar Fire (Graham Dawsons)
# elements, which are based on the assumption that the "mean longitude" given
# by Waldemath is an observation (a true longitude)
# Neither Swisseph nor Solar fire elements agree with Delphine Jay's ephemeris,
# which is obviously wrong.
2414290.95827875,2414290.95827875, 70.3407215 + 109023.2634989 * T, 0.0068400705250028, 0.1587, 8.14049594 + 2393.47417444 * T, 136.24878256 - 1131.71719709 * T, 2.5, Waldemath, geo # 19
# Прозерпина по элементам, позаимствованным из программы ZET
2445375.5, 2445375.5, 187.502320, 77.926077235, 0.08550236, 319.538004, 63.696644, 3.000799, Прозерпина # 20 (PLC = 59)
2449265.5, 2449265.5, 273.797595, 22.62242427, 0.03499926, 113.637733, 239.886016, 147.999666, Вакшья # 21 (PLC = 60)
2448830.5, 2448830.5, 050.78, 57.83976167, 0.118, 288.017908, 047.587053, 2.500595, Дхарма # 21 (PLC = 61)
2443334.5, 2443334.5, 197.382940, 3.955619253, 0.13200125, 337.005622, 203.411958, 145.620388, Приап # 22 (PLC = 61)
2448372.5, 2448372.5, 057.560892, 4.140101624, 0.00199892, 19.245916, 23.205985, 2.001000, Рази # 22 (PLC = 62)
